City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
135,Luderitz,NA,-26.6481,15.1594,55.81,61,0,16.71,clear sky
136,Buraydah,SA,26.326,43.975,87.55,13,100,8.28,overcast clouds
137,Iqaluit,CA,63.7506,-68.5145,41.7,81,88,8.99,overcast clouds
138,Esso,RU,55.9333,158.7,79.32,31,35,8.41,scattered clouds
139,Lazaro Cardenas,MX,17.9583,-102.2,82.85,75,100,7.16,overcast clouds
140,New Norfolk,AU,-42.7826,147.0587,42.71,86,80,2.86,broken clouds
141,Manono,CD,-7.3,27.4167,78.39,39,86,2.15,overcast clouds
142,Poya,NC,-21.35,165.15,70.86,76,91,10.6,overcast clouds
143,Petauke,ZM,-14.2426,31.3253,62.49,57,86,8.79,overcast clouds
144,Innisfail,AU,-17.5333,146.0333,59.43,54,2,6.58,clear sky
145,Comodoro Rivadavia,AR,-45.8667,-67.5,31.86,80,0,5.75,clear sky
146,Touros,BR,-5.1989,-35.4608,75.78,86,41,13.13,scattered clouds
147,Valparaiso,CL,-33.0393,-71.6273,55.04,85,100,13.8,light rain
148,Tecoanapa,MX,16.5167,-98.75,84.49,69,100,7.23,overcast clouds
149,Markdorf,DE,47.7167,9.4,71.11,69,75,2.3,broken clouds
150,Villa Carlos Paz,AR,-31.4241,-64.4978,56.82,35,0,11.01,clear sky
151,Pisco,PE,-13.7,-76.2167,61.02,88,13,8.05,few clouds
152,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,84,20,4.61,few clouds
153,Slave Lake,CA,55.2834,-114.769,62.58,67,100,5.75,overcast clouds
154,Mitsamiouli,KM,-11.3847,43.2844,77.92,72,73,3.71,broken clouds
155,Pangai,TO,-19.8,-174.35,78.22,83,65,21.59,broken clouds
156,Tazovskiy,RU,67.4667,78.7,47.79,71,15,5.68,few clouds
157,Benton Harbor,US,42.1167,-86.4542,75.85,74,20,6.91,few clouds
158,Makakilo City,US,21.3469,-158.0858,88.12,58,0,20.71,clear sky
159,Qaanaaq,GL,77.484,-69.3632,38.73,96,100,6.4,light rain
160,Puerto Del Rosario,ES,28.5004,-13.8627,71.35,78,0,14.97,clear sky
161,Baruun-Urt,MN,46.6806,113.2792,65.53,51,2,5.55,clear sky
162,Bredasdorp,ZA,-34.5322,20.0403,59.31,73,100,18.57,overcast clouds
163,Klaksvik,FO,62.2266,-6.589,47.32,74,84,5.01,broken clouds
164,Deyang,CN,31.1302,104.382,75.6,95,100,4.43,overcast clouds
165,Slantsy,RU,59.1182,28.0914,56.66,81,13,5.73,few clouds
166,Thompson,CA,55.7435,-97.8558,84.43,27,0,10.04,clear sky
167,Morgan Hill,US,37.1305,-121.6544,89.15,38,0,11.5,clear sky
168,Coihaique,CL,-45.5752,-72.0662,31.95,93,75,0.0,broken clouds
169,Ylivieska,FI,64.0833,24.55,63.32,97,100,0.87,overcast clouds
170,Tura,IN,25.5198,90.2201,74.88,97,93,2.95,overcast clouds
171,Nara,JP,34.6851,135.8049,79.5,63,100,1.99,overcast clouds
172,Khatanga,RU,71.9667,102.5,43.74,83,100,8.88,overcast clouds
173,Tuskegee,US,32.424,-85.6916,83.08,100,100,1.01,overcast clouds
174,Palmas,BR,-10.2128,-48.3603,80.47,54,0,4.61,clear sky
175,Churachandpur,IN,24.3333,93.6667,66.24,97,8,2.46,clear sky
176,Ancud,CL,-41.8697,-73.8203,41.23,85,89,8.28,light rain
177,Aranos,NA,-24.1333,19.1167,54.03,33,0,5.35,clear sky
178,Mwanza,TZ,-2.5167,32.9,69.08,44,74,8.75,broken clouds
179,Kashi,CN,39.4547,75.9797,71.42,38,100,6.53,overcast clouds
180,Sinalunga,IT,43.2152,11.7495,70.75,64,3,2.75,clear sky
181,Calamar,CO,10.2511,-74.9146,80.33,83,99,8.08,overcast clouds
