City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
170,Pudozh,RU,2022-07-12 18:36:27,61.8099,36.5345,64.63,94,85,3.09
171,Juneau,US,2022-07-12 18:35:18,58.3019,-134.4197,57.85,88,100,8.05
172,Ahipara,NZ,2022-07-12 18:26:52,-35.1667,173.1667,58.26,86,15,13.91
173,Oktyabrskiy,RU,2022-07-12 18:36:28,54.4815,53.471,70.56,84,100,2.24
174,Klaksvik,FO,2022-07-12 18:36:28,62.2266,-6.589,50.92,86,100,31.79
175,Tessalit,ML,2022-07-12 18:36:29,20.1986,1.0114,97.63,21,95,5.19
176,Hasaki,JP,2022-07-12 18:36:29,35.7333,140.8333,73.8,92,100,7.29
177,Qom,IR,2022-07-12 18:36:30,34.6401,50.8764,94.17,11,20,19.66
178,Vallenar,CL,2022-07-12 18:32:15,-28.5708,-70.7581,73.58,11,0,2.89
179,Portobelo,PA,2022-07-12 18:36:31,9.55,-79.65,78.75,92,100,1.45
180,Palmer,US,2022-07-12 18:31:41,42.1584,-72.3287,87.39,57,87,7.0
181,Kavieng,PG,2022-07-12 18:23:35,-2.5744,150.7967,81.9,76,20,14.63
182,Mahebourg,MU,2022-07-12 18:36:32,-20.4081,57.7,71.89,68,75,16.11
183,Husavik,IS,2022-07-12 18:36:32,66.0449,-17.3389,42.73,95,100,19.6
184,Clyde River,CA,2022-07-12 18:36:33,70.4692,-68.5914,46.63,76,40,8.05
185,Namibe,AO,2022-07-12 18:37:33,-15.1961,12.1522,63.73,85,1,8.16
186,Huarmey,PE,2022-07-12 18:37:34,-10.0681,-78.1522,67.48,68,5,9.89
187,Mount Gambier,AU,2022-07-12 18:37:34,-37.8333,140.7667,40.98,89,3,3.27
188,Iratosu,RO,2022-07-12 18:37:35,46.3167,21.2,70.05,40,20,6.91
189,Roald,NO,2022-07-12 18:37:35,62.5833,6.1333,61.75,82,75,12.66
190,Kruisfontein,ZA,2022-07-12 18:37:36,-34.0033,24.7314,48.88,84,0,3.85
191,Ucluelet,CA,2022-07-12 18:37:36,48.9329,-125.5528,63.09,83,1,5.99
192,Tsimlyansk,RU,2022-07-12 18:37:36,47.6461,42.1019,73.98,58,100,9.24
193,Ruteng,ID,2022-07-12 18:37:37,-8.6136,120.4721,58.33,91,100,3.83
194,Menongue,AO,2022-07-12 18:37:37,-14.6585,17.691,57.52,41,0,5.21
195,Nouadhibou,MR,2022-07-12 18:37:38,20.931,-17.0347,73.38,78,40,21.85
196,Te Anau,NZ,2022-07-12 18:37:38,-45.4167,167.7167,38.52,99,100,3.76
197,Waingapu,ID,2022-07-12 18:37:39,-9.6567,120.2641,71.53,79,99,10.07
198,Baykit,RU,2022-07-12 18:37:39,61.67,96.37,50.52,79,100,2.53
199,Balaipungut,ID,2022-07-12 18:37:40,1.05,101.2833,73.29,96,99,1.7
200,Sinnamary,GF,2022-07-12 18:37:40,5.3833,-52.95,82.9,70,81,7.29
201,Esperance,AU,2022-07-12 18:37:41,-33.8667,121.9,51.87,55,0,6.78
202,Temirtau,KZ,2022-07-12 18:37:41,50.0544,72.9483,63.3,52,0,9.08
203,Vestmanna,FO,2022-07-12 18:37:42,62.1564,-7.1664,49.12,93,100,10.36
204,Tiksi,RU,2022-07-12 18:37:42,71.6872,128.8694,35.29,97,100,11.21
205,Halchiu,RO,2022-07-12 18:37:43,45.7667,25.55,53.78,73,6,3.31
206,Beirut,LB,2022-07-12 18:32:50,33.8889,35.4944,77.38,74,0,3.74
207,Todos Santos,MX,2022-07-12 18:37:43,23.45,-110.2167,98.04,59,83,8.57
208,Felipe Carrillo Puerto,MX,2022-07-12 18:37:44,19.5833,-88.05,94.51,39,100,8.61
209,Noumea,NC,2022-07-12 18:37:45,-22.2763,166.4572,70.0,99,2,5.14
210,Luanda,AO,2022-07-12 18:35:55,-8.8368,13.2343,69.8,94,20,3.44
211,Tairua,NZ,2022-07-12 18:37:46,-37.0167,175.85,57.54,85,99,13.78
212,Beipiao,CN,2022-07-12 18:37:46,41.7919,120.7792,71.24,91,100,4.05
213,Saint-Philippe,RE,2022-07-12 18:37:47,-21.3585,55.7679,69.39,68,42,13.56
214,Mersing,MY,2022-07-12 18:37:47,2.4312,103.8405,78.71,94,40,2.3
215,Lanzhou,CN,2022-07-12 18:37:23,36.0564,103.7922,71.28,64,97,3.13
216,Havre-Saint-Pierre,CA,2022-07-12 18:37:48,50.2334,-63.5986,62.96,82,100,9.22
217,Chokurdakh,RU,2022-07-12 18:37:48,70.6333,147.9167,45.95,89,100,9.8
218,Badarwas,IN,2022-07-12 18:37:49,24.9667,77.5667,85.12,68,54,2.91
219,Taree,AU,2022-07-12 18:37:49,-31.9,152.4667,52.11,94,100,3.91
220,Arlit,NE,2022-07-12 18:37:50,18.7369,7.3853,96.48,23,64,6.69
221,Upernavik,GL,2022-07-12 18:37:50,72.7868,-56.1549,42.37,84,80,3.42
222,Olafsvik,IS,2022-07-12 18:37:51,64.8945,-23.7142,49.42,68,97,11.97
223,Steinbach,DE,2022-07-12 18:37:51,50.1667,8.5667,83.3,32,0,3.44
224,Neuquen,AR,2022-07-12 18:37:52,-38.9516,-68.0591,62.49,25,35,19.57
225,Imeni Poliny Osipenko,RU,2022-07-12 18:37:52,52.4201,136.4853,60.76,97,100,5.1
226,Lagunas,PE,2022-07-12 18:37:53,-5.2269,-75.6753,85.14,65,77,1.7
227,Bay Roberts,CA,2022-07-12 18:37:53,47.5999,-53.2648,74.95,42,99,11.72
228,Sakakah,SA,2022-07-12 18:37:54,29.9697,40.2064,98.17,17,100,10.16
229,Geraldton,AU,2022-07-12 18:37:54,-28.7667,114.6,52.21,76,0,3.44
230,Vavozh,RU,2022-07-12 18:37:55,56.7751,51.931,70.02,86,31,4.34
231,Miri,MY,2022-07-12 18:37:55,4.4148,114.0089,77.14,94,40,3.44
232,Taoudenni,ML,2022-07-12 18:38:56,22.6783,-3.9836,109.94,8,100,6.89
233,Vostok,RU,2022-07-12 18:38:56,46.4856,135.8833,58.71,96,100,2.57
234,Sao Lourenco Do Sul,BR,2022-07-12 18:38:57,-31.3653,-51.9783,52.14,64,90,11.74
235,Pevek,RU,2022-07-12 18:38:57,69.7008,170.3133,38.5,96,100,14.34
236,Walvis Bay,NA,2022-07-12 18:38:58,-22.9575,14.5053,58.15,77,0,3.44
237,Lubbock,US,2022-07-12 18:35:07,33.6001,-101.8338,94.37,33,40,8.99
238,Puerto Colombia,CO,2022-07-12 18:38:59,10.9878,-74.9547,87.89,77,100,11.99
239,Ponta Delgada,PT,2022-07-12 18:38:59,37.7333,-25.6667,74.12,78,20,16.11
240,Beringovskiy,RU,2022-07-12 18:39:00,63.05,179.3167,53.13,75,100,9.37
241,Itarema,BR,2022-07-12 18:39:00,-2.9248,-39.9167,82.83,71,70,15.5
242,Lompoc,US,2022-07-12 18:39:01,34.6391,-120.4579,82.02,72,0,5.75
243,Goose Creek,US,2022-07-12 18:39:01,32.981,-80.0326,89.92,69,75,9.22
244,Dingle,PH,2022-07-12 18:38:56,10.9995,122.6711,76.55,90,100,3.65
245,Caravelas,BR,2022-07-12 18:39:02,-17.7125,-39.2481,76.75,59,7,6.24
246,Ancud,CL,2022-07-12 18:39:03,-41.8697,-73.8203,41.23,68,95,13.06
247,Monrovia,LR,2022-07-12 18:39:03,6.3005,-10.7969,76.39,86,78,9.8
248,Zhanaozen,KZ,2022-07-12 18:39:04,43.3,52.8,89.58,18,2,11.9
249,Port-Cartier,CA,2022-07-12 18:39:04,50.0334,-66.8654,59.22,99,100,6.06
250,Barcelos,PT,2022-07-12 18:39:05,41.5388,-8.6151,100.92,34,73,3.83
251,Ambovombe,MG,2022-07-12 18:39:06,-25.1667,46.0833,66.15,80,0,6.55
252,Domodossola,IT,2022-07-12 18:39:06,46.1165,8.2931,80.22,77,12,4.25
253,Rtishchevo,RU,2022-07-12 18:39:07,52.2604,43.7874,65.61,63,0,7.72
254,Mayo,US,2022-07-12 18:39:07,38.8876,-76.5119,93.07,64,0,7.0
255,Capitan Bado,PY,2022-07-12 18:39:08,-23.2667,-55.5333,66.96,42,5,7.85
256,Katsuura,JP,2022-07-12 18:38:23,35.1333,140.3,74.64,92,94,5.41
257,Georgetown,MY,2022-07-12 18:38:53,5.4112,100.3354,76.95,93,40,3.44
258,Guerrero Negro,MX,2022-07-12 18:38:23,27.9769,-114.0611,72.75,65,80,14.5
259,Pasighat,IN,2022-07-12 18:39:09,28.0667,95.3333,79.86,87,100,3.0
260,Longyearbyen,SJ,2022-07-12 18:39:10,78.2186,15.6401,46.24,93,75,3.44
261,Almaznyy,RU,2022-07-12 18:39:10,48.0448,40.045,68.41,41,16,6.67
262,Cockburn Town,TC,2022-07-12 18:38:46,21.4612,-71.1419,82.17,78,5,16.93
263,Ekhabi,RU,2022-07-12 18:38:54,53.5102,142.9671,53.98,83,0,11.48
264,La Ronge,CA,2022-07-12 18:39:11,55.1001,-105.2842,73.65,53,20,4.61
265,Shelburne,CA,2022-07-12 18:39:12,44.0787,-80.2041,75.76,84,24,17.58
266,Padang,ID,2022-07-12 18:38:58,-0.9492,100.3543,77.58,88,90,3.38
267,Beyneu,KZ,2022-07-12 18:39:13,45.3167,55.2,90.72,26,0,9.01
268,Pisco,PE,2022-07-12 18:39:02,-13.7,-76.2167,64.45,77,100,3.44
269,Seydi,TM,2022-07-12 18:39:13,39.4816,62.9137,84.76,24,0,11.32
270,Whitecourt,CA,2022-07-12 18:39:14,54.1502,-115.6855,70.84,56,20,3.44
271,Tingloy,PH,2022-07-12 18:39:14,13.6609,120.8711,79.21,85,100,5.46
272,Cherskiy,RU,2022-07-12 18:39:15,68.75,161.3,50.85,71,0,12.59
273,Asau,RO,2022-07-12 18:39:15,46.4333,26.4,63.52,67,0,7.09
274,Neiafu,TO,2022-07-12 18:39:16,-18.65,-173.9833,77.68,78,40,10.36
275,Shingu,JP,2022-07-12 18:34:26,33.7333,135.9833,74.52,90,60,3.42
276,Zyryanka,RU,2022-07-12 18:40:13,65.75,150.85,72.91,66,100,10.83
277,Chipping Sodbury,GB,2022-07-12 18:38:42,51.5381,-2.3938,78.22,56,100,3.74
278,Fortuna Foothills,US,2022-07-12 18:40:18,32.6578,-114.4119,109.22,22,0,17.27
279,Kuusamo,FI,2022-07-12 18:40:18,65.9667,29.1833,68.04,77,20,5.75
280,Altay,CN,2022-07-12 18:40:19,47.8667,88.1167,63.46,52,91,2.73
281,Oswego,US,2022-07-12 18:40:19,43.4501,-76.1497,89.55,63,4,5.01
282,Inhambane,MZ,2022-07-12 18:40:20,-23.865,35.3833,66.18,94,20,0.0
283,Evensk,RU,2022-07-12 18:40:21,61.95,159.2333,51.94,87,33,1.99
284,Cardston,CA,2022-07-12 18:40:21,49.2,-113.3019,80.74,34,100,4.61
285,Souillac,MU,2022-07-12 18:40:22,-20.5167,57.5167,71.98,68,75,16.11
286,Egvekinot,RU,2022-07-12 18:40:22,66.3167,-179.1667,46.18,86,100,8.34
287,Chapais,CA,2022-07-12 18:40:23,49.7834,-74.8492,64.18,86,100,8.43
288,Muros,ES,2022-07-12 18:40:23,42.7762,-9.0603,91.09,35,11,4.18
289,Hofn,IS,2022-07-12 18:40:24,64.2539,-15.2082,51.39,67,100,15.52
290,Saint Anthony,US,2022-07-12 18:40:25,45.0205,-93.218,86.11,43,20,16.11
291,Touros,BR,2022-07-12 18:40:25,-5.1989,-35.4608,80.42,73,10,14.72
292,Grindavik,IS,2022-07-12 18:40:26,63.8424,-22.4338,54.07,71,75,18.41
293,Meulaboh,ID,2022-07-12 18:40:26,4.1363,96.1285,77.36,83,93,6.87
294,Laguna,US,2022-07-12 18:40:27,38.421,-121.4238,95.02,40,0,8.05
295,Lata,PT,2022-07-12 18:40:28,40.1629,-8.3327,88.48,40,100,3.58
