City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
228,Quelimane,MZ,64.11,clear sky,-17.8786,36.8883,Hotel Flamingo
230,Kanniyakumari,IN,79.25,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
240,Yamethin,MM,74.01,overcast clouds,20.4333,96.15,အလင်းရောင် ဘက်ထရီ
242,Lagoa,PT,68.36,broken clouds,39.05,-27.9833,Casa Das Faias
244,Labuhan,ID,76.14,overcast clouds,-6.8844,112.2051,DoubleFAG
245,Bitung,ID,83.25,overcast clouds,1.4451,125.1824,K2 Lembeh
246,Lasa,IT,65.35,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
248,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
251,Camacha,PT,63.82,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
257,Kuusamo,FI,64.44,overcast clouds,65.9667,29.1833,Hotel Kuusanka
258,Tabuk,PH,77.61,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
261,Paramirim,BR,71.85,few clouds,-13.4425,-42.2389,Pousada Rio Pequeno
262,Soyo,AO,69.37,clear sky,-6.1349,12.3689,Hospedaria ndozi'ame
265,Kupang,ID,74.05,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
268,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
270,Faya,SA,64.92,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
273,Bama,NG,82.17,overcast clouds,11.5221,13.6856,UN Humanitarian Hub
274,Abdulino,RU,68.29,scattered clouds,53.7,53.6667,Hotel Lazur
275,Muros,ES,77.41,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
279,Tomatlan,MX,83.25,overcast clouds,19.9333,-105.25,El Salvial
281,Lejanias,CO,70.9,overcast clouds,3.5251,-74.0216,Hotel Campestre La Contea
283,Petropavlovsk-Kamchatskiy,RU,63.19,volcanic ash,53.0452,158.6483,The Hotel Petropavlovsky
284,Havre-Saint-Pierre,CA,64.76,broken clouds,50.2334,-63.5986,Auberge Niapiskau
286,Margate,GB,66.31,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
287,Naze,JP,81.0,overcast clouds,28.3667,129.4833,Shishime Hotel
289,Natagaima,CO,84.81,broken clouds,3.6206,-75.0941,Mi Hotel El Gran Palacio- Nury
292,Sabang,ID,82.09,overcast clouds,5.8933,95.3214,Hotel Citra
295,Port-Gentil,GA,75.16,overcast clouds,-0.7193,8.7815,Fengshui Residence
297,Tabas,IR,79.83,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
301,Nacala,MZ,69.84,few clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
303,Najran,SA,83.07,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
306,Carbonia,IT,77.02,clear sky,39.1672,8.5222,Lu 'Hotel
308,Maturin,VE,76.03,broken clouds,9.75,-63.1767,Hotel Residencial La Pichincha
310,Vao,NC,72.81,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
314,Sorong,ID,77.7,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
315,Ribeira Grande,PT,72.0,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
318,Souillac,MU,66.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
319,Sao Joao Da Barra,BR,69.66,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
323,Sambava,MG,67.35,few clouds,-14.2667,50.1667,Melrose
